repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
Python,19248,70257,2417.6668055555556,CLOSED,12,15,2,4,1,226,False,3,1,1,582,27,19.397777777777776,Feature
PHP,883,2337,1790.022199074074,CLOSED,9,23,2,3,4,13,False,0,3,3,2590,32,48.00194444444445,Document
PHP,883,2337,1786.1434837962963,CLOSED,1,97,3,5,1,6,False,1,4,3,3953,98,2085.108888888889,Document
TypeScript,783,13212,1160.1102662037038,CLOSED,417,3530,67,1,101,812,False,1,0,0,1865,3947,1886.1077777777778,Document
TypeScript,2071,16638,1200.9199074074074,MERGED,4,5,3,0,3,66,True,0,0,0,2445,9,344.6672222222222,Bug
Vue,293,495,787.927337962963,MERGED,365,366,31,37,36,358,True,9,28,7,804,731,1086.51,Feature
TypeScript,3989,23860,2783.0381828703703,MERGED,3,14,5,2,3,159,False,0,2,2,1121,17,624.0119444444445,Document
TypeScript,7045,76149,2586.035138888889,MERGED,28,5,1,5,1,74,False,0,5,2,502,33,0.19805555555555557,Feature
TypeScript,7045,76149,2586.624571759259,MERGED,0,14,1,5,1,83,False,0,5,2,614,14,0.9344444444444444,Feature
JavaScript,8844,63474,4035.704675925926,MERGED,1,31,4,2,5,52,True,1,1,1,1658,32,347.5661111111111,Bug
TypeScript,7045,76149,2586.586539351852,MERGED,0,2,1,5,1,82,False,0,5,2,595,2,0.16416666666666666,Feature
TypeScript,7045,76149,2586.1292939814816,MERGED,88,164,6,6,1,80,False,0,6,2,739,252,10.614444444444445,Feature
JavaScript,0,9,33.00521990740741,CLOSED,1,7,1,1,1,1,False,0,1,1,1227,8,1281.6583333333333,Document
TypeScript,7045,76149,2586.094201388889,MERGED,2,3,1,5,1,78,False,0,5,2,761,5,0.3325,Feature
TypeScript,7045,76149,2586.0871412037036,MERGED,2,2,1,5,1,77,False,0,5,2,743,4,0.09638888888888889,Feature
TypeScript,7045,76149,2586.0525694444445,MERGED,0,38,1,5,1,75,False,0,5,2,689,38,0.6119444444444444,Feature
Python,4515,54977,879.063599537037,MERGED,1,6,1,3,2,134,False,1,2,2,3507,7,2709.4319444444445,Document
TypeScript,7045,76149,2586.5736342592595,MERGED,2,1,1,6,1,81,False,0,6,3,858,3,0.12944444444444445,Feature
TypeScript,7045,76149,2586.079525462963,MERGED,1,17,1,5,1,76,False,0,5,2,864,18,0.12305555555555556,Feature
TypeScript,7045,76149,2586.0255092592593,MERGED,45,62,3,5,1,73,False,0,5,2,949,107,0.07027777777777777,Feature
Python,19248,70257,2417.9065162037036,CLOSED,5,3,1,1,1,423,False,1,0,0,251,8,13.551111111111112,Feature
TypeScript,6,5,503.4709953703704,MERGED,43,3,1,0,1,15,False,0,0,0,205,46,0.12416666666666666,Feature
PHP,883,2337,1790.1780787037035,CLOSED,1,1,1,4,1,1,False,0,4,3,1558,2,38.30222222222222,Document
TypeScript,33316,371992,3011.8820601851853,MERGED,0,196,3,4,13,111,True,1,3,3,937,196,600.0327777777778,Feature
PowerShell,8,8,588.2360416666667,MERGED,43,3,1,0,1,6,False,0,0,0,278,46,0.02,Feature
Python,19248,70257,2417.271446759259,CLOSED,18,136,4,6,10,68,False,6,0,0,1131,154,997.0008333333334,Bug
TypeScript,2071,16638,1196.1100810185185,MERGED,13,12,1,0,6,3,False,0,0,0,1321,25,96.03277777777778,Bug
Python,19248,70257,2414.4474768518517,CLOSED,0,2,1,0,1,495,False,0,0,0,213,2,8.737777777777778,Feature
TypeScript,7045,76149,2587.060138888889,MERGED,2,723,3,5,1,85,False,0,5,2,1307,725,0.2313888888888889,Bug
TypeScript,7045,76149,2586.844328703704,MERGED,4121,2681,5,5,1,84,False,0,5,2,1669,6802,0.17027777777777778,Document
TypeScript,2071,16638,1199.3106134259258,MERGED,0,2,1,0,1,65,True,0,0,0,2501,2,18.905,Bug
TypeScript,7045,76149,2586.1113078703706,MERGED,72,48,5,5,1,79,False,0,5,2,1788,120,0.3913888888888889,Feature
Python,19248,70257,2414.808113425926,CLOSED,60,38,12,2,2,1513,False,2,0,0,375,98,41.50333333333333,Feature
TypeScript,33316,371992,3010.557650462963,MERGED,0,36,1,3,3,110,True,0,3,3,1265,36,8.117222222222223,Feature
TypeScript,0,0,39.17509259259259,MERGED,0,4,1,0,1,0,True,0,0,0,247,4,0.05611111111111111,Feature
Python,19248,70257,2414.782152777778,CLOSED,3,3,2,1,1,1512,False,1,0,0,300,6,5.470833333333333,Feature
Rust,433,2229,189.3604513888889,CLOSED,46,115,4,4,3,179,False,1,3,2,727,161,467.87944444444446,Feature
TypeScript,7045,76149,2585.867638888889,MERGED,151,769,10,5,1,71,False,0,5,2,2413,920,3.1527777777777777,Bug
